method,filter,family,size,b1,queries,recall_at_10,perfect_frac,sim_regret,p50_ms,p95_ms,p99_ms,allow_iter_p50_ms,stage1_p50_ms,stage2_p50_ms,stage3_p50_ms,stage1_mb_per_q,stage2_kb_per_q,stage3_kb_per_q
scan,negsparse_q0139_m4m,negsparse,4000000,4096,1,0.0000,0.0000,0.00009,258.189,258.189,258.189,28.300,212.825,1.880,15.184,244.14,512.0,2100.0
scan,negsparse_q0139_m4m,negsparse,4000000,32768,1,0.1000,0.0000,0.00004,265.750,265.750,265.750,28.423,215.487,11.634,10.206,244.14,4096.0,2100.0
scan,negsparse_q0147_m50k,negsparse,50000,4096,1,1.0000,1.0000,0.00000,24.853,24.853,24.853,0.215,5.006,0.935,18.698,3.05,512.0,2100.0
scan,negsparse_q0147_m50k,negsparse,50000,32768,1,1.0000,1.0000,0.00000,15.155,15.155,15.155,0.220,4.633,9.207,1.095,3.05,4096.0,2100.0
scan,negsparse_q0147_m150k,negsparse,150000,4096,1,0.7000,0.0000,0.00001,39.253,39.253,39.253,0.642,12.840,1.190,24.580,9.16,512.0,2100.0
scan,negsparse_q0147_m150k,negsparse,150000,32768,1,0.6000,0.0000,0.00004,30.668,30.668,30.668,0.646,16.239,9.576,4.207,9.16,4096.0,2100.0
scan,negsparse_q0147_m300k,negsparse,300000,4096,1,0.6000,0.0000,0.00002,49.248,49.248,49.248,1.418,25.084,1.454,21.291,18.31,512.0,2100.0
scan,negsparse_q0147_m300k,negsparse,300000,32768,1,0.5000,0.0000,0.00003,44.222,44.222,44.222,1.540,27.801,10.052,4.829,18.31,4096.0,2100.0
scan,negsparse_q0147_m1m,negsparse,1000000,4096,1,0.1000,0.0000,0.00007,149.589,149.589,149.589,10.852,117.998,1.796,18.943,61.04,512.0,2100.0
scan,negsparse_q0147_m1m,negsparse,1000000,32768,1,0.1000,0.0000,0.00005,146.416,146.416,146.416,11.017,116.272,11.742,7.385,61.04,4096.0,2100.0
scan,negsparse_q0147_m2m,negsparse,2000000,4096,1,0.0000,0.0000,0.00004,227.656,227.656,227.656,16.835,191.104,1.830,17.887,122.07,512.0,2100.0
scan,negsparse_q0147_m2m,negsparse,2000000,32768,1,0.0000,0.0000,0.00005,232.399,232.399,232.399,16.568,191.565,11.684,12.582,122.07,4096.0,2100.0
scan,negsparse_q0147_m4m,negsparse,4000000,4096,1,0.0000,0.0000,0.00004,276.081,276.081,276.081,33.456,224.135,1.926,16.564,244.14,512.0,2100.0
scan,negsparse_q0147_m4m,negsparse,4000000,32768,1,0.1000,0.0000,0.00002,280.741,280.741,280.741,31.075,228.639,12.212,8.814,244.14,4096.0,2100.0
scan,negsparse_q0155_m50k,negsparse,50000,4096,1,0.9000,0.0000,0.00002,34.965,34.965,34.965,0.213,5.280,0.910,28.563,3.05,512.0,2100.0
scan,negsparse_q0155_m50k,negsparse,50000,32768,1,0.8000,0.0000,0.00004,19.457,19.457,19.457,0.221,7.136,8.831,3.268,3.05,4096.0,2100.0
scan,negsparse_q0155_m150k,negsparse,150000,4096,1,0.6000,0.0000,0.00006,35.160,35.160,35.160,0.626,12.970,1.068,20.497,9.16,512.0,2100.0
scan,negsparse_q0155_m150k,negsparse,150000,32768,1,0.5000,0.0000,0.00007,32.943,32.943,32.943,0.645,16.171,9.540,6.587,9.16,4096.0,2100.0
scan,negsparse_q0155_m300k,negsparse,300000,4096,1,0.3000,0.0000,0.00008,48.875,48.875,48.875,1.411,25.194,1.546,20.724,18.31,512.0,2100.0
scan,negsparse_q0155_m300k,negsparse,300000,32768,1,0.4000,0.0000,0.00007,50.954,50.954,50.954,1.468,28.691,10.660,10.135,18.31,4096.0,2100.0
scan,negsparse_q0155_m1m,negsparse,1000000,4096,1,0.1000,0.0000,0.00009,147.805,147.805,147.805,10.760,115.220,1.820,20.005,61.04,512.0,2100.0
scan,negsparse_q0155_m1m,negsparse,1000000,32768,1,0.1000,0.0000,0.00005,149.842,149.842,149.842,11.055,116.791,11.486,10.510,61.04,4096.0,2100.0
scan,negsparse_q0155_m2m,negsparse,2000000,4096,1,0.0000,0.0000,0.00009,229.506,229.506,229.506,17.387,193.127,1.815,17.177,122.07,512.0,2100.0
