filter,family,size,b1,queries,recall_at_10,perfect_frac,sim_regret,p50_ms,p95_ms,p99_ms,allow_iter_p50_ms,stage1_p50_ms,stage2_p50_ms,stage3_p50_ms,stage1_mb_per_q,stage2_kb_per_q,stage3_kb_per_q
anticorr_q0698_tau0,anticorr,9900001,32768,1,0.0000,0.0000,0.00005,330.061,330.061,330.061,61.816,231.736,13.048,23.462,604.25,4096.0,2100.0
anticorr_q0698_tau0.01,anticorr,9899936,4096,1,0.8000,0.0000,0.00049,337.466,337.466,337.466,64.939,228.707,2.059,41.761,604.24,512.0,2100.0
anticorr_q0698_tau0.01,anticorr,9899936,32768,1,0.9000,0.0000,0.00006,328.834,328.834,328.834,62.517,231.054,12.559,22.704,604.24,4096.0,2100.0
anticorr_q0698_tau0.03,anticorr,9900691,4096,1,1.0000,1.0000,0.00000,317.553,317.553,317.553,62.957,227.425,1.963,25.207,604.29,512.0,2100.0
anticorr_q0698_tau0.03,anticorr,9900691,32768,1,1.0000,1.0000,0.00000,310.632,310.632,310.632,62.423,230.605,12.137,5.467,604.29,4096.0,2100.0
anticorr_q0712_tau0,anticorr,9900000,4096,1,0.0000,0.0000,0.00004,324.474,324.474,324.474,63.730,230.254,1.897,28.592,604.25,512.0,2100.0
anticorr_q0712_tau0,anticorr,9900000,32768,1,0.0000,0.0000,0.00002,329.994,329.994,329.994,62.750,234.574,11.748,20.922,604.25,4096.0,2100.0
anticorr_q0712_tau0.01,anticorr,9899910,4096,1,0.5000,0.0000,0.00513,323.535,323.535,323.535,62.421,228.727,1.951,30.437,604.24,512.0,2100.0
anticorr_q0712_tau0.01,anticorr,9899910,32768,1,0.7000,0.0000,0.00151,324.353,324.353,324.353,62.967,231.307,12.043,18.036,604.24,4096.0,2100.0
anticorr_q0712_tau0.03,anticorr,9900215,4096,1,0.9000,0.0000,0.00163,323.844,323.844,323.844,61.671,229.418,1.925,30.830,604.26,512.0,2100.0
anticorr_q0712_tau0.03,anticorr,9900215,32768,1,1.0000,1.0000,0.00000,316.975,316.975,316.975,62.554,230.600,13.256,10.565,604.26,4096.0,2100.0
anticorr_q0714_tau0,anticorr,9900000,4096,1,0.0000,0.0000,0.00005,336.483,336.483,336.483,62.225,232.195,2.025,40.038,604.25,512.0,2100.0
anticorr_q0714_tau0,anticorr,9900000,32768,1,0.0000,0.0000,0.00004,337.574,337.574,337.574,61.986,231.906,11.789,31.893,604.25,4096.0,2100.0
