filter,family,size,queries,recall_at_10,perfect_frac,p50_ms,p95_ms,p99_ms,allow_iter_p50_ms,stage1_p50_ms,stage2_p50_ms,stage3_p50_ms,stage1_mb_per_q,stage2_kb_per_q,stage3_kb_per_q
topical_10k_a,topical,10002,1000,0.9989,0.9900,1.234,1.597,3.587,0.044,0.309,0.701,0.178,0.61,512.0,2100.0
topical_10k_b,topical,10001,1000,0.9996,0.9960,1.240,1.587,5.426,0.044,0.311,0.703,0.180,0.61,512.0,2100.0
topical_1m_a,topical,1000003,1000,0.9890,0.9120,58.198,65.035,68.283,8.635,43.378,1.506,4.523,61.04,512.0,2100.0
topical_1m_b,topical,1000013,1000,0.9910,0.9250,58.072,64.909,70.153,8.683,43.766,1.512,3.587,61.04,512.0,2100.0
topical_2m_a,topical,2000088,1000,0.9900,0.9200,105.185,113.686,118.370,16.140,80.162,1.634,6.802,122.08,512.0,2100.0
topical_2m_b,topical,2000000,1000,0.9938,0.9450,100.279,106.978,111.416,15.901,77.019,1.599,5.257,122.07,512.0,2100.0
topical_400k_a,topical,400020,1000,0.9935,0.9430,26.905,31.121,32.974,3.867,20.296,1.263,1.316,24.42,512.0,2100.0
topical_400k_b,topical,400001,1000,0.9941,0.9460,25.370,30.209,33.591,3.658,18.861,1.233,1.499,24.41,512.0,2100.0
topical_40k_a,topical,40006,1000,0.9951,0.9560,2.669,4.765,11.671,0.170,1.452,0.762,0.270,2.44,512.0,2100.0
topical_40k_b,topical,40004,1000,0.9972,0.9740,2.719,3.626,5.302,0.169,1.499,0.776,0.264,2.44,512.0,2100.0
topical_5m_a,topical,5000022,1000,0.9946,0.9530,190.409,196.331,202.280,33.722,149.793,1.760,5.017,305.18,512.0,2100.0
topical_5m_b,topical,5000010,1000,0.9944,0.9520,190.912,194.915,198.983,34.096,152.367,1.792,2.479,305.18,512.0,2100.0
anticorr_q0041_tau0,anticorr,9900000,1,0.0000,0.0000,321.056,321.056,321.056,61.794,230.862,2.018,26.381,604.25,512.0,2100.0
anticorr_q0041_tau0.01,anticorr,9900239,1,0.8000,0.0000,317.491,317.491,317.491,61.862,230.157,1.978,23.495,604.26,512.0,2100.0
anticorr_q0041_tau0.03,anticorr,9900507,1,1.0000,1.0000,298.672,298.672,298.672,65.916,228.755,1.740,2.260,604.28,512.0,2100.0
anticorr_q0059_tau0,anticorr,9900000,1,0.0000,0.0000,323.135,323.135,323.135,62.729,228.965,2.008,29.433,604.25,512.0,2100.0
anticorr_q0059_tau0.01,anticorr,9899959,1,0.8000,0.0000,313.764,313.764,313.764,62.157,229.128,1.995,20.484,604.25,512.0,2100.0
anticorr_q0059_tau0.03,anticorr,9899896,1,1.0000,1.0000,299.027,299.027,299.027,64.221,228.599,1.819,4.387,604.24,512.0,2100.0
anticorr_q0064_tau0,anticorr,9900000,1,0.0000,0.0000,315.054,315.054,315.054,63.110,229.028,2.057,20.859,604.25,512.0,2100.0
anticorr_q0064_tau0.01,anticorr,9900317,1,0.9000,0.0000,311.788,311.788,311.788,61.727,230.240,2.048,17.773,604.27,512.0,2100.0
anticorr_q0064_tau0.03,anticorr,9899835,1,1.0000,1.0000,295.841,295.841,295.841,62.576,229.783,1.891,1.591,604.24,512.0,2100.0
anticorr_q0073_tau0,anticorr,9900001,1,0.1000,0.0000,317.627,317.627,317.627,62.268,231.181,1.982,22.195,604.25,512.0,2100.0
anticorr_q0073_tau0.01,anticorr,9899943,1,0.9000,0.0000,315.534,315.534,315.534,62.005,231.191,1.965,20.374,604.24,512.0,2100.0
anticorr_q0073_tau0.03,anticorr,9899919,1,1.0000,1.0000,295.742,295.742,295.742,62.185,228.420,1.986,3.151,604.24,512.0,2100.0
